origin,destination,count
ABQ,PHX,5265
ANC,SEA,6257
ATL,LGA,10506
ATL,DFW,9847
ATL,MCO,9613
ATL,EWR,8028
ATL,ORD,7677
ATL,FLL,7665
ATL,TPA,7311
ATL,DCA,7289
ATL,PHL,6915
ATL,CLT,6720
ATL,MIA,6628
ATL,BOS,5990
ATL,BWI,5978
ATL,DEN,5726
ATL,JAX,5656
ATL,DTW,5612
ATL,RDU,5411
ATL,LAX,5406
ATL,MSP,5368
ATL,IAD,5309
ATL,IAH,5268
AUS,DAL,5573
AUS,DFW,5506
BOS,LGA,12029
BOS,DCA,8899
BOS,JFK,7372
BOS,ORD,7085
BOS,PHL,6375
BOS,ATL,5982
BUR,OAK,5423
BUR,LAS,5162
BWI,ATL,5972
CLT,ATL,6722
CLT,EWR,5953
CLT,ORD,5639
CLT,LGA,5339
CVG,ORD,6014
DAL,HOU,9790
DAL,AUS,5583
DCA,LGA,11102
DCA,BOS,8929
DCA,ORD,7427
DCA,ATL,7296
DEN,SLC,8905
DEN,LAX,8811
DEN,PHX,8391
DEN,DFW,8268
DEN,LAS,8147
DEN,SEA,6414
DEN,ORD,6051
DEN,ATL,5903
DEN,SFO,5604
DEN,SAN,5358
DEN,MCI,5111
DEN,MSP,5011
DFW,ATL,9849
DFW,DEN,8193
DFW,ORD,8165
DFW,LAX,6571
DFW,IAH,5526
DFW,AUS,5508
DFW,SAT,5414
DFW,PHX,5388
DFW,LGA,5365
DTW,ORD,7553
DTW,ATL,5612
EWR,ATL,8060
EWR,ORD,7505
EWR,CLT,5945
FLL,ATL,7666
HNL,OGG,12014
HNL,LIH,10769
HNL,KOA,8745
HNL,ITO,7685
HOU,DAL,9766
IAD,ATL,5362
IAH,ORD,5651
IAH,DFW,5539
ITO,HNL,7386
JAX,ATL,5656
JFK,LAX,8078
JFK,BOS,7513
JFK,SFO,6591
JFK,MCO,5373
KOA,HNL,9038
LAS,LAX,11729
LAS,PHX,10626
LAS,DEN,8165
LAS,SFO,6994
LAS,SAN,5895
LAS,SLC,5378
LAS,ORD,5235
LAS,BUR,5154
LAS,SEA,5065
LAX,SFO,13390
LAX,LAS,11773
LAX,SAN,11257
LAX,PHX,9897
LAX,SJC,8908
LAX,DEN,8894
LAX,JFK,8058
LAX,OAK,7583
LAX,ORD,7333
LAX,SEA,6876
LAX,DFW,6571
LAX,SMF,5692
LAX,ATL,5402
LAX,SLC,5178
LGA,BOS,12035
LGA,DCA,11063
LGA,ORD,10862
LGA,ATL,10507
LGA,DFW,5372
LIH,HNL,10407
MCI,DEN,5256
MCO,ATL,9611
MCO,PHL,7034
MCO,JFK,5371
MIA,ATL,6623
MSP,ORD,9356
MSP,DTW,5459
MSP,DEN,5374
MSP,ATL,5369
OAK,LAX,7578
OAK,SAN,5851
OAK,BUR,5420
OAK,SEA,5047
OGG,HNL,12383
ONT,PHX,5628
ORD,LGA,10770
ORD,MSP,9688
ORD,DFW,8093
ORD,DTW,7602
ORD,ATL,7449
ORD,DCA,7430
ORD,EWR,7174
ORD,BOS,7133
ORD,LAX,6974
ORD,PHL,6733
ORD,CLT,6013
ORD,CVG,5993
ORD,DEN,5773
ORD,SFO,5524
ORD,IAH,5463
ORD,LAS,5257
ORD,PHX,5124
PHL,ORD,7078
PHL,MCO,7032
PHL,ATL,6918
PHL,BOS,6384
PHX,LAS,10337
PHX,LAX,9992
PHX,DEN,8402
PHX,SAN,7609
PHX,SLC,7177
PHX,ONT,5627
PHX,SNA,5497
PHX,DFW,5387
PHX,ABQ,5234
PHX,ORD,5130
PHX,SEA,5072
RDU,ATL,5418
SAN,LAX,11224
SAN,PHX,7581
SAN,SFO,6769
SAN,LAS,5902
SAN,OAK,5831
SAN,SJC,5286
SAN,DEN,5263
SAT,DFW,5413
SEA,LAX,6865
SEA,DEN,6623
SEA,ANC,6256
SEA,SFO,5409
SEA,OAK,5095
SEA,PHX,5062
SEA,LAS,5051
SFO,LAX,13788
SFO,LAS,7007
SFO,JFK,6971
SFO,SAN,6312
SFO,ORD,5746
SFO,SEA,5414
SFO,DEN,5374
SJC,LAX,8939
SJC,SNA,5383
SJC,SAN,5254
SLC,DEN,9269
SLC,PHX,7168
SLC,LAS,5373
SLC,LAX,5178
SMF,LAX,5717
SNA,PHX,5477
SNA,SJC,5401
TPA,ATL,7313
